User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
40089160,2021-01-25 09:45:51,SPOT,Sell,THETA,-462.60000000,""
40089160,2021-01-25 12:38:55,SPOT,Sell,USDT,-32.29869000,""
40089160,2021-01-25 12:38:55,SPOT,Buy,VET,1005.00000000,""
40089160,2021-01-25 12:38:55,SPOT,Fee,VET,-1.00500000,""
40089160,2021-01-25 12:38:57,SPOT,Fee,VET,-1.08100000,""
40089160,2021-01-25 12:38:57,SPOT,Fee,VET,-0.68400000,""
40089160,2021-01-25 12:38:57,SPOT,Sell,USDT,-34.74117800,""
40089160,2021-01-25 12:38:57,SPOT,Buy,VET,1081.00000000,""
40089160,2021-01-25 12:38:57,SPOT,Sell,USDT,-21.98239200,""
40089160,2021-01-25 12:38:57,SPOT,Buy,VET,684.00000000,""
40089160,2021-01-25 12:38:59,SPOT,Fee,VET,-11.38800000,""
40089160,2021-01-25 12:38:59,SPOT,Sell,USDT,-365.98754400,""
40089160,2021-01-25 12:38:59,SPOT,Buy,VET,11388.00000000,""
40089160,2021-01-25 12:38:59,SPOT,Sell,USDT,-439.16577000,""
40089160,2021-01-25 12:38:59,SPOT,Buy,VET,13665.00000000,""
40089160,2021-01-25 12:38:59,SPOT,Fee,VET,-13.66500000,""
40089160,2021-01-25 18:11:09,SPOT,Sell,VET,-2835.00000000,""
40089160,2021-01-25 18:11:09,SPOT,Buy,USDT,774.18432000,""
40089160,2021-01-25 18:11:09,SPOT,Buy,USDT,87.93036000,""
40089160,2021-01-25 18:11:09,SPOT,Fee,USDT,-0.77418432,""
40089160,2021-01-25 18:11:09,SPOT,Fee,USDT,-0.08793036,""
40089160,2021-01-25 18:11:09,SPOT,Sell,VET,-24960.00000000,""
40089160,2021-01-25 18:12:17,SPOT,Sell,USDT,-861.22558200,""
40089160,2021-01-25 18:12:17,SPOT,Fee,THETA,-0.38820000,""
40089160,2021-01-25 18:12:17,SPOT,Buy,THETA,388.20000000,""
40089160,2021-01-25 18:17:43,SPOT,Thirdparty Wallet Transfer,USDT,2897.12310800,""
40089160,2021-01-25 18:18:33,SPOT,Buy,THETA,300.00000000,""
40089160,2021-01-25 18:18:33,SPOT,Fee,THETA,-0.24070000,""
40089160,2021-01-25 18:18:33,SPOT,Sell,USDT,-1682.17161000,""
40089160,2021-01-25 18:18:33,SPOT,Fee,THETA,-0.30000000,""
40089160,2021-01-25 18:18:33,SPOT,Buy,THETA,240.70000000,""
40089160,2021-01-25 18:18:33,SPOT,Buy,THETA,749.00000000,""
40089160,2021-01-25 18:18:33,SPOT,Fee,THETA,-0.74900000,""
40089160,2021-01-25 18:18:33,SPOT,Sell,USDT,-673.75800000,""
40089160,2021-01-25 18:18:33,SPOT,Sell,USDT,-540.58813000,""
40089160,2021-01-26 10:45:50,SPOT,Fee,USDT,-0.17561609,""
40089160,2021-01-26 10:45:50,SPOT,Fee,USDT,-0.93538800,""
40089160,2021-01-26 10:45:50,SPOT,Sell,THETA,-400.00000000,""
40089160,2021-01-26 10:45:50,SPOT,Sell,THETA,-1201.10000000,""
40089160,2021-01-26 10:45:50,SPOT,Sell,THETA,-75.10000000,""
40089160,2021-01-26 10:45:50,SPOT,Buy,USDT,935.38800000,""
40089160,2021-01-26 10:45:50,SPOT,Fee,USDT,-2.80867626,""
40089160,2021-01-26 10:45:50,SPOT,Buy,USDT,2808.67626200,""
40089160,2021-01-26 10:45:50,SPOT,Buy,USDT,175.61609300,""
